condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,atomic_movement_payment_enabled,local_resource_maximum,movement_nonzero_operations,movement_step_mutation_rate,movement_uncommitted_distance,movement_uncommitted_execution_energy_batches,movement_uncommitted_movement_energy_batches,movement_uncommitted_nonzero_operations,movement_uncommitted_operations,movement_zero_step_operations,resource_allocation_cv,resource_distribution_mode,resource_heterogeneity_cv,result_checksum
sensing-execution-on-movement-on,,18,90b282b497b20eb5,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,94,0,1.029351,,0.222222,12.141709,8,0.08,True,True,33878.777273,0.0,-2e-09,,9,8,8.0,0.8,,,,2000,9,94,97,24,2,9,2,14,5853,8,7,0,7,0.0,144,356,1.6e-09,True,1868.445455,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.766925,826edcf61b123e729e3bbf70183e2259d68bac09f3b549fb6de4944a2f06c46b
sensing-execution-on-movement-on,,19,ede9d8ecbb6c02d5,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,88,3,0.951565,,0.142857,9.539024,12,0.12,True,True,32928.409091,0.0,-3.1e-09,,0,0,0.0,0.0,,,,2000,14,88,86,27,2,6,2,6,5976,4,13,0,13,0.0,224,276,2.9e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.900533,2679f835b808988ab3e27d6654ac7d3039f3b711e157d61738d172efab15be55
sensing-execution-on-movement-on,,20,39dfbfce2ed99bd6,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,91,3,0.9876,,0.285714,8.415369,10,0.1,True,True,33221.295455,0.0,-3.3e-09,,0,0,0.0,0.0,,,,2000,14,91,89,25,2,10,2,7,6397,9,14,0,14,0.0,224,276,2.6e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.889956,c66bc99d6d9baf0cdcfd435c668a6adb5ab6dd6df525197f114c570141cde895
sensing-execution-on-movement-on,,21,8ac757d846c4cfee,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,57,2,0.974767,,0.181818,14.170008,10,0.1,True,True,35467.081818,0.0,-1.5e-09,,0,8,8.0,0.8,,,,2000,11,57,58,24,1,7,1,4,4099,5,10,0,10,0.0,176,324,1e-09,True,1870.536364,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.888375,fe3d940f35664bc68d8ae38040f9e399d4b487282bce617976e06ce19c211b1c
sensing-execution-on-movement-on,,22,d09bae6e2bf964cc,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,79,2,0.888422,,8.129032,5.564051,10,0.1,True,True,35194.718182,0.0,-0.0,,0,0,0.0,0.0,,,,2000,31,79,60,31,5,14,5,10,6108,9,20,3,17,0.0,496,4,6e-10,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.893918,129fd09ff4f83695116124e0a6f5b519d658d2752de634838e3ba940fd0c0ee6
sensing-execution-on-movement-on,,23,9be7b328f6e58cfb,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,139,1,0.972723,,0.285714,10.50532,11,0.11,True,True,31922.227273,0.0,-1e-09,,0,0,0.0,0.0,,,,2000,14,139,137,31,2,11,2,19,8856,9,13,0,13,0.0,224,276,3.2e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.85191,493c1379562ece567399c348c2bd45c04257c729ecec77ac42af62087ac21e73
sensing-execution-on-movement-on,,24,10f28f608109fad1,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,41,3,0.840638,,0.0,19.589655,7,0.07,True,True,36905.104545,0.0,4e-10,,0,1,1.0,0.1,,,,2000,7,41,46,24,2,5,2,5,2807,3,7,0,7,0.0,112,388,-1e-10,True,1863.636364,1,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.825512,45a901e00e0fff582a861472cbf93edb97c31ba56c9f426d64a7c69b6613af8a
sensing-execution-on-movement-on,,25,15bdb98f83d29cdd,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,114,0,0.878872,,1.5,4.969308,11,0.11,True,True,32441.290909,0.0,-8e-10,,8,0,0.0,0.0,,,,2000,16,114,110,31,2,12,2,19,8071,10,15,0,15,0.0,256,244,2.9e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.833647,a4a917ea7b203e3170e6d03c0a458bc0be00421b5445f6b262551baffcf35474
sensing-execution-on-movement-on,,26,b1b4aa85c61070fd,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,44,0,0.752681,,0.0,22.256981,7,0.07,True,True,36250.890909,0.0,-3e-10,,0,5,5.0,0.5,,,,2000,7,44,49,24,2,9,2,4,3237,5,7,0,7,0.0,112,388,5e-10,True,1863.636364,5,0.5,2.0,2,0,2,2,0,0.668043,center_patch,0.848361,58067feabd9f8004b32c3dd661148d06fab1764b349411e141417edd052421bf
sensing-execution-on-movement-on,,27,d8f6cf2fb7692e9d,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,51,0,0.942759,,0.0,21.747068,9,0.09,True,True,35445.581818,0.0,-1.2e-09,,0,0,0.0,0.0,,,,2000,9,51,54,24,1,6,1,4,3387,4,9,0,9,0.0,144,356,1.1e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.884373,ffeaa7c8f73162b2d6381eb89d456ace9c108be18e3fae2ff311627f5f1a9d60
sensing-execution-on-movement-on,,28,2ec73373d2cbc0a8,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,119,6,0.914048,,0.833333,8.700986,10,0.1,True,True,31593.009091,0.0,-1.6e-09,,0,2,2.0,0.2,,,,2000,12,119,119,29,3,8,3,13,19977,5,10,0,10,0.0,192,308,3e-09,True,1863.636364,2,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.867415,121b874014ba77101fdb5b3bc1150635d898b8036253cbca8ae56f1ada48452c
sensing-execution-on-movement-on,,29,0035090a74a56a5f,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,138,1,0.925946,,3.181818,5.054726,11,0.11,True,True,32950.431818,0.0,-2.3e-09,,34,0,0.0,0.0,,,,2000,22,138,128,28,3,11,3,19,8849,8,21,0,21,0.0,352,148,2.2e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.80694,448061a4ecf83b28b84125858253944f6279a8f730a4513263ac03bd5a5befcf
sensing-execution-on-movement-on,,30,c6d53ae948eb422d,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,109,2,0.939366,,0.75,10.564669,13,0.13,True,True,31834.318182,0.0,-5e-10,,0,1,0.0,0.0,,,,2000,16,109,105,31,2,10,2,9,17718,9,15,0,15,0.0,256,244,2.8e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.860742,d80b0859bcce2d0e8e964f88813e3049d87774bb03fccf91aaa871dc1e142fee
